config,mac_count,bitwidth,problem,result_dir,gflops_at_1ghz,utilization_pct,cycles,energy_uj,computes_total,fj_per_compute_total,fj_per_compute_mac,fj_per_compute_global_buffer,fj_per_compute_ifmap_buffer,fj_per_compute_weight_buffer,fj_per_compute_ofmap_buffer,fj_per_compute_onchip_buffers_total,fj_per_compute_dram,global_buffer_total_scalar_accesses,ifmap_buffer_total_scalar_accesses,weight_buffer_total_scalar_accesses,ofmap_buffer_total_scalar_accesses,onchip_buffers_total_scalar_accesses,dram_total_scalar_accesses,global_buffer_op_per_byte,ifmap_buffer_op_per_byte,weight_buffer_op_per_byte,ofmap_buffer_op_per_byte,dram_op_per_byte,mac_area_um2_total,global_buffer_area_um2,ifmap_buffer_area_um2,weight_buffer_area_um2,ofmap_buffer_area_um2,onchip_buffers_area_um2_total,area_mm2_summary,global_buffer_keep_outputs,global_buffer_bypass_outputs,global_buffer_keep_list,global_buffer_bypass_list,ofmap_buffer_keep_outputs,ofmap_buffer_bypass_outputs,ofmap_buffer_keep_list,ofmap_buffer_bypass_list,map_loop_nest,ifmap_buffer_bypass_list,ifmap_buffer_bypass_outputs,ifmap_buffer_keep_list,ifmap_buffer_keep_outputs,weight_buffer_bypass_list,weight_buffer_bypass_outputs,weight_buffer_keep_list,weight_buffer_keep_outputs
cnn_accel_1mac_4b__conv2d_16x16,1,4,conv2d_16x16,timeloop/results/cnn_accel_1mac_4b__conv2d_16x16,1.89,100.0,2304,0.19,2304,82382.44,1750.0,,8346.56,7348.52,13808.89,29503.97,51128.47,,2628,2313,4352,9293,589,,3.31,3.76,2.0,14.8,1200.0,,7680.0,7680.0,7680.0,23040.0,0.0,,,,,True,False,Outputs,Weights|Inputs,for Q in [0:16) ; for P in [0:16) ; for S in [0:3) ; for R in [0:3),Weights|Outputs,True,Inputs,False,Inputs|Outputs,True,Weights,False
cnn_accel_1mac_4b__conv2d_16x16_c3,1,4,conv2d_16x16_c3,timeloop/results/cnn_accel_1mac_4b__conv2d_16x16_c3,1.96,100.0,6912,0.5,6912,72157.19,1750.0,,8460.63,7377.03,14349.63,30187.289999999997,40219.91,,7992,6966,13568,28526,1390,,3.4,3.9,2.0,19.52,1200.0,,7680.0,7680.0,7680.0,23040.0,0.0,,,,,True,False,Outputs,Weights|Inputs,for P in [0:2) ; for C in [0:3) ; for Q in [0:16) ; for P in [0:8) ; for S in [0:3) ; for R in [0:3),Weights|Outputs,True,Inputs,False,Inputs|Outputs,True,Weights,False
cnn_accel_1mac_4b__conv2d_16x16_c3k8,1,4,conv2d_16x16_c3k8,timeloop/results/cnn_accel_1mac_4b__conv2d_16x16_c3k8,1.96,100.0,55296,3.77,55296,68108.37,1750.0,,7462.58,8232.5,14349.63,30044.71,36313.66,,56376,62208,108544,227128,10040,,3.85,3.49,2.0,21.62,1200.0,,7680.0,7680.0,7680.0,23040.0,0.0,,,,,True,False,Outputs,Weights|Inputs,for Q in [0:2) ; for P in [0:8) ; for K in [0:2) ; for K in [0:4) ; for P in [0:2) ; for C in [0:3) ; for S in [0:3) ; for Q in [0:8) ; for R in [0:3),Weights|Outputs,True,Inputs,False,Inputs|Outputs,True,Weights,False
cnn_accel_1mac_4b__conv2d_16x16_k4,1,4,conv2d_16x16_k4,timeloop/results/cnn_accel_1mac_4b__conv2d_16x16_k4,1.89,100.0,9216,0.56,9216,60518.77,1750.0,,7576.64,7348.52,13808.89,28734.05,30034.72,,9540,9252,17408,36200,1384,,3.65,3.76,2.0,25.16,1200.0,,7680.0,7680.0,7680.0,23040.0,0.0,,,,,True,False,Outputs,Weights|Inputs,for K in [0:2) ; for K in [0:2) ; for Q in [0:4) ; for P in [0:16) ; for Q in [0:4) ; for S in [0:3) ; for R in [0:3),Weights|Outputs,True,Inputs,False,Inputs|Outputs,True,Weights,False
cnn_accel_1mac_4b__conv2d_32x32,1,4,conv2d_32x32,timeloop/results/cnn_accel_1mac_4b__conv2d_32x32,1.89,100.0,9216,0.72,9216,78626.03,1750.0,,8235.67,7327.13,13808.89,29371.69,47504.34,,10372,9225,17408,37005,2189,,3.36,3.77,2.0,15.91,1200.0,,7680.0,7680.0,7680.0,23040.0,0.0,,,,,True,False,Outputs,Weights|Inputs,for Q in [0:16) ; for Q in [0:2) ; for P in [0:2) ; for P in [0:16) ; for S in [0:3) ; for R in [0:3),Weights|Outputs,True,Inputs,False,Inputs|Outputs,True,Weights,False
cnn_accel_1mac_4b__conv2d_8x8,1,4,conv2d_8x8,timeloop/results/cnn_accel_1mac_4b__conv2d_8x8,1.89,100.0,576,0.05,576,91649.76,1750.0,,8587.36,7434.06,13808.89,29830.31,60069.44,,676,585,1088,2349,173,,3.22,3.73,2.0,12.65,1200.0,,7680.0,7680.0,7680.0,23040.0,0.0,,,,,True,False,Outputs,Weights|Inputs,for Q in [0:8) ; for P in [0:8) ; for S in [0:3) ; for R in [0:3),Weights|Outputs,True,Inputs,False,Inputs|Outputs,True,Weights,False
cnn_accel_3mac_4b__conv2d_16x16,3,4,conv2d_16x16,timeloop/results/cnn_accel_3mac_4b__conv2d_16x16,5.67,100.0,768,0.16,2304,68147.99,1750.0,,3872.12,7335.18,4062.22,15269.52,51128.47,,1220,2313,1280,4813,589,,7.13,3.76,6.8,14.8,3600.0,,7680.0,7680.0,7680.0,23040.0,0.0,,,,,True,False,Outputs,Weights|Inputs,for P in [0:2) ; for P in [0:4) ; for Q in [0:2) ; for R in [0:3) ; for P in [0:2) ; for Q in [0:8) ; for S in [0:3) (Spatial-X),Weights|Outputs,True,Inputs,False,Inputs|Outputs,True,Weights,False
cnn_accel_3mac_4b__conv2d_16x16_c3,3,4,conv2d_16x16_c3,timeloop/results/cnn_accel_3mac_4b__conv2d_16x16_c3,5.89,100.0,2304,0.58,6912,84500.54,1750.0,,4328.37,7335.18,5143.7,16807.25,65943.29,,4092,6939,4864,15895,2279,,6.63,3.91,5.58,11.91,3600.0,,7680.0,7680.0,7680.0,23040.0,0.0,,,,,True,False,Outputs,Weights|Inputs,for C in [0:3) ; for P in [0:4) ; for Q in [0:2) ; for Q in [0:8) ; for S in [0:3) ; for P in [0:4) ; for R in [0:3) (Spatial-X),Weights|Outputs,True,Inputs,False,Inputs|Outputs,True,Weights,False
cnn_accel_3mac_4b__conv2d_16x16_c3k8,3,4,conv2d_16x16_c3k8,timeloop/results/cnn_accel_3mac_4b__conv2d_16x16_c3k8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cnn_accel_3mac_4b__conv2d_16x16_k4,3,4,conv2d_16x16_k4,timeloop/results/cnn_accel_3mac_4b__conv2d_16x16_k4,5.67,100.0,3072,0.42,9216,46106.89,1750.0,,2924.77,7335.18,4062.22,14322.17,30034.72,,3684,9252,5120,18056,1384,,9.45,3.76,6.8,25.16,3600.0,,7680.0,7680.0,7680.0,23040.0,0.0,,,,,True,False,Outputs,Weights|Inputs,for K in [0:2) ; for K in [0:2) ; for P in [0:4) ; for P in [0:4) ; for R in [0:3) ; for Q in [0:16) ; for S in [0:3) (Spatial-X),Weights|Outputs,True,Inputs,False,Inputs|Outputs,True,Weights,False
